section,id,label
B,28,"Non-regulated - New commitments in quarter - (i) Percentages by purpose - Total"
B,29,"Non-regulated - New commitments in quarter - (ii) Amounts by purpose - House purchase"
B,30,"Non-regulated - New commitments in quarter - (ii) Amounts by purpose - Remortgage"
B,31,"Non-regulated - New commitments in quarter - (ii) Amounts by purpose - Other (inc further advances)"
B,32,"Non-regulated - New commitments in quarter - (ii) Amounts by purpose - Total"
C,1,"All (Regulated and Non-regulated) - By purpose of loan - Advances - House purchase"
C,2,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Owner occupation - First time buyers"
C,3,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Owner occupation - Other"
C,4,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Buy to let"
C,5,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Further advance"
C,6,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Remortgage"
C,7,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Remortgage - Own borrowers"
C,8,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Remortgage - From other lenders"
C,9,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Other"
C,10,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Other - Lifetime mortgage"
C,11,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Other - Other"
C,12,"All (Regulated and Non-regulated) - By purpose of loan - Advances - Total"
C,13,"All (Regulated and Non-regulated) - By purpose of loan - Balances - House purchase"
C,14,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Owner occupation - First time buyers"
C,15,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Owner occupation - Other"
C,16,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Buy to let"
C,17,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Further advance"
C,18,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Remortgage"
C,19,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Remortgage - Own borrowers"
C,20,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Remortgage - From other lenders"
C,21,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Other"
C,22,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Other - Lifetime mortgage"
C,23,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Other - Other"
C,24,"All (Regulated and Non-regulated) - By purpose of loan - Balances - Total"
C,25,"All (Regulated and Non-regulated) - New commitments in quarter - (i) Percentages by purpose - House purchase"
C,26,"All (Regulated and Non-regulated) - New commitments in quarter - (i) Percentages by purpose - Remortgage"
C,27,"All (Regulated and Non-regulated) - New commitments in quarter - (i) Percentages by purpose - Other (inc further advances)"
C,28,"All (Regulated and Non-regulated) - New commitments in quarter - (i) Percentages by purpose - Total"
C,29,"All (Regulated and Non-regulated) - New commitments in quarter - (ii) Amounts by purpose - House purchase"
C,30,"All (Regulated and Non-regulated) - New commitments in quarter - (ii) Amounts by purpose - Remortgage"
C,31,"All (Regulated and Non-regulated) - New commitments in quarter - (ii) Amounts by purpose - Other (inc further advances)"
C,32,"All (Regulated and Non-regulated) - New commitments in quarter - (ii) Amounts by purpose - Total"
