section,id,label
A,1,"Regulated - By purpose of loan - Advances - House purchase"
A,2,"Regulated - By purpose of loan - Advances - Owner occupation - First time buyers"
A,3,"Regulated - By purpose of loan - Advances - Owner occupation - Other"
A,4,"Regulated - By purpose of loan - Advances - Buy to let"
A,5,"Regulated - By purpose of loan - Advances - Further advance"
A,6,"Regulated - By purpose of loan - Advances - Remortgage"
A,7,"Regulated - By purpose of loan - Advances - Remortgage - Own borrowers"
A,8,"Regulated - By purpose of loan - Advances - Remortgage - From other lenders"
A,9,"Regulated - By purpose of loan - Advances - Other"
A,10,"Regulated - By purpose of loan - Advances - Other - Lifetime mortgage"
A,11,"Regulated - By purpose of loan - Advances - Other - Other"
A,12,"Regulated - By purpose of loan - Advances - Total"
A,13,"Regulated - By purpose of loan - Balances - House purchase"
A,14,"Regulated - By purpose of loan - Balances - Owner occupation - First time buyers"
A,15,"Regulated - By purpose of loan - Balances - Owner occupation - Other"
A,16,"Regulated - By purpose of loan - Balances - Buy to let"
A,17,"Regulated - By purpose of loan - Balances - Further advance"
A,18,"Regulated - By purpose of loan - Balances - Remortgage"
A,19,"Regulated - By purpose of loan - Balances - Remortgage - Own borrowers"
A,20,"Regulated - By purpose of loan - Balances - Remortgage - From other lenders"
A,21,"Regulated - By purpose of loan - Balances - Other"
A,22,"Regulated - By purpose of loan - Balances - Other - Lifetime mortgage"
A,23,"Regulated - By purpose of loan - Balances - Other - Other"
A,24,"Regulated - By purpose of loan - Balances - Total"
A,25,"Regulated - New commitments in quarter - (i) Percentages by purpose - House purchase"
A,26,"Regulated - New commitments in quarter - (i) Percentages by purpose - Remortgage"
A,27,"Regulated - New commitments in quarter - (i) Percentages by purpose - Other (inc further advances)"
A,28,"Regulated - New commitments in quarter - (i) Percentages by purpose - Total"
A,29,"Regulated - New commitments in quarter - (ii) Amounts by purpose - House purchase"
A,30,"Regulated - New commitments in quarter - (ii) Amounts by purpose - Remortgage"
A,31,"Regulated - New commitments in quarter - (ii) Amounts by purpose - Other (inc further advances)"
A,32,"Regulated - New commitments in quarter - (ii) Amounts by purpose - Total"
B,1,"Non-regulated - By purpose of loan - Advances - House purchase"
B,2,"Non-regulated - By purpose of loan - Advances - Owner occupation - First time buyers"
B,3,"Non-regulated - By purpose of loan - Advances - Owner occupation - Other"
B,4,"Non-regulated - By purpose of loan - Advances - Buy to let"
B,5,"Non-regulated - By purpose of loan - Advances - Further advance"
B,6,"Non-regulated - By purpose of loan - Advances - Remortgage"
B,7,"Non-regulated - By purpose of loan - Advances - Remortgage - Own borrowers"
B,8,"Non-regulated - By purpose of loan - Advances - Remortgage - From other lenders"
B,9,"Non-regulated - By purpose of loan - Advances - Other"
B,10,"Non-regulated - By purpose of loan - Advances - Other - Lifetime mortgage"
B,11,"Non-regulated - By purpose of loan - Advances - Other - Other"
B,12,"Non-regulated - By purpose of loan - Advances - Total"
B,13,"Non-regulated - By purpose of loan - Balances - House purchase"
B,14,"Non-regulated - By purpose of loan - Balances - Owner occupation - First time buyers"
B,15,"Non-regulated - By purpose of loan - Balances - Owner occupation - Other"
B,16,"Non-regulated - By purpose of loan - Balances - Buy to let"
B,17,"Non-regulated - By purpose of loan - Balances - Further advance"
B,18,"Non-regulated - By purpose of loan - Balances - Remortgage"
B,19,"Non-regulated - By purpose of loan - Balances - Remortgage - Own borrowers"
B,20,"Non-regulated - By purpose of loan - Balances - Remortgage - From other lenders"
B,21,"Non-regulated - By purpose of loan - Balances - Other"
B,22,"Non-regulated - By purpose of loan - Balances - Other - Lifetime mortgage"
B,23,"Non-regulated - By purpose of loan - Balances - Other - Other"
B,24,"Non-regulated - By purpose of loan - Balances - Total"
B,25,"Non-regulated - New commitments in quarter - (i) Percentages by purpose - House purchase"
B,26,"Non-regulated - New commitments in quarter - (i) Percentages by purpose - Remortgage"
B,27,"Non-regulated - New commitments in quarter - (i) Percentages by purpose - Other (inc further advances)"
