section,id,label
A,1,"Regulated - With Impaired credit history - Advances"
A,2,"Regulated - With Impaired credit history - Balances"
A,3,"Regulated - With Impaired credit history - By payment type - Advances - Repayment (capital + interest)"
A,4,"Regulated - With Impaired credit history - By payment type - Advances - Interest only"
A,5,"Regulated - With Impaired credit history - By payment type - Advances - Combined"
A,6,"Regulated - With Impaired credit history - By payment type - Advances - Other"
A,7,"Regulated - With Impaired credit history - By payment type - Balances - Repayment (capital + interest)"
A,8,"Regulated - With Impaired credit history - By payment type - Balances - Interest only"
A,9,"Regulated - With Impaired credit history - By payment type - Balances - Combined"
A,10,"Regulated - With Impaired credit history - By payment type - Balances - Other"
A,11,"Regulated - With Impaired credit history - By drawing facility - Advances - Loans with extra drawing facility"
A,12,"Regulated - With Impaired credit history - By drawing facility - Advances - Loans including unused facility"
A,13,"Regulated - With Impaired credit history - By drawing facility - Advances - Unused facility"
A,14,"Regulated - With Impaired credit history - By drawing facility - Advances - Net loans"
A,15,"Regulated - With Impaired credit history - By drawing facility - Advances - Loans with no extra drawing facility"
A,16,"Regulated - With Impaired credit history - By drawing facility - Balances - Loans with extra drawing facility"
A,17,"Regulated - With Impaired credit history - By drawing facility - Balances - Loans including unused facility"
A,18,"Regulated - With Impaired credit history - By drawing facility - Balances - Unused facility"
A,19,"Regulated - With Impaired credit history - By drawing facility - Balances - Net loans"
A,20,"Regulated - With Impaired credit history - By drawing facility - Balances - Loans with no extra drawing facility"
B,1,"Non-regulated - With Impaired credit history - Advances"
B,2,"Non-regulated - With Impaired credit history - Balances"
B,3,"Non-regulated - With Impaired credit history - By payment type - Advances - Repayment (capital + interest)"
B,4,"Non-regulated - With Impaired credit history - By payment type - Advances - Interest only"
B,5,"Non-regulated - With Impaired credit history - By payment type - Advances - Combined"
B,6,"Non-regulated - With Impaired credit history - By payment type - Advances - Other"
B,7,"Non-regulated - With Impaired credit history - By payment type - Balances - Repayment (capital + interest)"
B,8,"Non-regulated - With Impaired credit history - By payment type - Balances - Interest only"
B,9,"Non-regulated - With Impaired credit history - By payment type - Balances - Combined"
B,10,"Non-regulated - With Impaired credit history - By payment type - Balances - Other"
B,11,"Non-regulated - With Impaired credit history - By drawing facility - Advances - Loans with extra drawing facility"
B,12,"Non-regulated - With Impaired credit history - By drawing facility - Advances - Loans including unused facility"
B,13,"Non-regulated - With Impaired credit history - By drawing facility - Advances - Unused facility"
B,14,"Non-regulated - With Impaired credit history - By drawing facility - Advances - Net loans"
B,15,"Non-regulated - With Impaired credit history - By drawing facility - Advances - Loans with no extra drawing facility"
B,16,"Non-regulated - With Impaired credit history - By drawing facility - Balances - Loans with extra drawing facility"
B,17,"Non-regulated - With Impaired credit history - By drawing facility - Balances - Loans including unused facility"
B,18,"Non-regulated - With Impaired credit history - By drawing facility - Balances - Unused facility"
B,19,"Non-regulated - With Impaired credit history - By drawing facility - Balances - Net loans"
B,20,"Non-regulated - With Impaired credit history - By drawing facility - Balances - Loans with no extra drawing facility"
C,1,"All (Regulated and Non-regulated) - With Impaired credit history - Advances"
C,2,"All (Regulated and Non-regulated) - With Impaired credit history - Balances"
C,3,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Advances - Repayment (capital + interest)"
C,4,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Advances - Interest only"
C,5,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Advances - Combined"
C,6,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Advances - Other"
C,7,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Balances - Repayment (capital + interest)"
C,8,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Balances - Interest only"
C,9,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Balances - Combined"
C,10,"All (Regulated and Non-regulated) - With Impaired credit history - By payment type - Balances - Other"
C,11,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Advances - Loans with extra drawing facility"
C,12,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Advances - Loans including unused facility"
C,13,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Advances - Unused facility"
C,14,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Advances - Net loans"
C,15,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Advances - Loans with no extra drawing facility"
C,16,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Balances - Loans with extra drawing facility"
C,17,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Balances - Loans including unused facility"
C,18,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Balances - Unused facility"
C,19,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Balances - Net loans"
C,20,"All (Regulated and Non-regulated) - With Impaired credit history - By drawing facility - Balances - Loans with no extra drawing facility"
